"","functionName","fileLocation","declarationStmts","executableStmts","conditionalStmts","loopStmts","returnStmts","parametersCount","callExprs","newExprs","assignmentExprs","memberExprs","cluster"
"83","[175] 25:9-144:9?3:43-20:21 (expr)","D:\apps\wproc\src\main\webapp\Web\wproc\Recurso\ConcluirAdmissibilidadePelaUnidade.xhtml?25:9-144:9?3:43-20:21",2,3,2,0,0,0,3,0,0,5,3
"84","[289] atualizaAnoExercicioContas","D:\apps\wproc\src\main\webapp\Web\wproc\IncluirEditarMonitoramento.xhtml?25:1-94:17?41:20-52:21",2,2,1,0,0,0,2,0,2,5,3
"85","[362] 26:17-94:17?4:41-26:21 (expr)","D:\apps\wproc\src\main\webapp\Web\wproc\EmitirPronunciamentoUnidadeAvulso.xhtml?26:17-94:17?4:41-26:21",2,3,2,0,0,0,3,0,0,6,3
"86","[396] janelaModalConsulta","D:\apps\wproc\src\main\webapp\Web\wproc\DetalhaProcessoTvp.xhtml?24:13-76:13?3:16-9:17",1,2,1,0,0,0,2,0,1,6,3
"87","[400] janelaModalConsulta","D:\apps\wproc\src\main\webapp\Web\wproc\DetalhaProcesso.xhtml?24:13-81:13?3:16-9:17",1,2,1,0,0,0,2,0,1,6,3
"88","[422] abreJanelaAssinaturaDocumento","D:\apps\wproc\src\main\webapp\Web\wproc\CriarDocumento\CriarDocumentoAvulso.xhtml?26:5-244:5?174:4-189:5",2,3,2,0,0,0,3,0,1,5,3
"89","[506] exibeDivConfirmaAutuacaoRecorrenteOutroRecurso","D:\apps\wproc\src\main\webapp\Web\wproc\AutuaRecurso\AutuaRecursoPeca.xhtml?19:8-133:8?71:4-81:5",1,2,2,0,0,0,3,0,1,5,3
"90","[511] exibeDivConfirmaAutuacaoRecorrenteOutroRecurso","D:\apps\wproc\src\main\webapp\Web\wproc\AutuaRecurso\AutuaRecurso.xhtml?19:8-122:8?70:4-80:5",1,2,2,0,0,0,3,0,1,5,3
"91","[572] abreJanelaAssinaturaDocumento","D:\apps\wproc\src\main\webapp\Web\wproc\Acao\PainelConcluirAcao.xhtml?22:5-140:5?66:4-81:5",2,3,2,0,0,0,3,0,0,5,3
"92","[583] esconderPainelComentario","D:\apps\wmgmt\src\main\webapp\Web\wmgmt\VisualizaProcesso\VisualizaProcesso.html?289:32-479:32?145:5-155:6",1,3,1,0,0,0,3,0,1,5,3
"93","[613] setEventListener","D:\apps\wmgmt\src\main\webapp\Web\wmgmt\scripts\egestao.js?284:0-293:1",0,3,2,0,0,1,2,0,1,5,3
"94","[614] desabilitarF5","D:\apps\wmgmt\src\main\webapp\Web\wmgmt\scripts\egestao.js?274:0-282:1",0,3,2,0,0,1,2,0,1,5,3
"95","[729] setaImagemObservacao","D:\apps\wdoc\src\main\webapp\Web\wdoc\MantemRegistroEntrada\scripts\CadastraRegistroEntrada.js?193:4-207:5",2,2,2,0,0,0,2,0,2,6,3
"96","[774] disparaOperacaoDadosGerais","D:\apps\wdoc\src\main\webapp\Web\wdoc\GereDadosGeraisDocumento\scripts\GereDadosGeraisDocumento.js?2:0-13:1",1,2,2,0,0,0,2,0,1,6,3
"97","[777] verificaSeHabilitaBotaoConfirmarCopiaPeca","D:\apps\wdoc\src\main\webapp\Web\wdoc\GereDadosGeraisDocumento\CopiaPecaProcesso.xhtml?22:5-39:5?3:4-14:5",2,2,1,0,0,0,2,0,2,5,3
"98","[836] abreJanelaAssinaturaDocumento","D:\apps\wdoc\src\main\webapp\Web\wdoc\AnexarDocumentos\AnexarDocumentos.xhtml?17:6-145:1?103:8-118:9",2,3,2,0,0,0,3,0,1,5,3
"99","[1235] atualizarItens","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Pauta\IncluirEmPautaMenu.xhtml?26:1-63:1?7:2-20:3",1,2,2,0,1,0,3,0,0,6,3
"100","[1239] atualizarItens","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\Pauta\IncluirEmPautaFiltro.xhtml?37:16-118:1?30:8-43:6",1,2,2,0,1,0,3,0,0,6,3
"101","[1283] atualizarItens","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\InstrucaoGabinete\DistribuirMenuAtividade.xhtml?16:8-157:8?8:2-23:3",1,2,2,0,1,0,3,0,0,6,3
"102","[1292] atualizarItens","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\InstrucaoGabinete\DistribuirMenu.xhtml?16:8-189:8?8:2-23:3",1,2,2,0,1,0,3,0,0,6,3
"103","[1293] atualizarItens","D:\apps\fulgas\fulgasWeb\src\main\webapp\web\InstrucaoGabinete\Distribuir.xhtml?122:8-149:8?13:2-27:3",1,2,2,0,1,0,3,0,0,6,3
"104","[0] limpar","D:\apps\wproc\src\main\webapp\Web\wproc\UltimasOperacoes.xhtml?20:17-29:17?3:20-8:21",0,3,0,0,0,0,6,0,0,3,4
"105","[21] habilitaDesabilitaModelo","D:\apps\wproc\src\main\webapp\Web\wproc\SubstituirArquivo.xhtml?25:9-100:17?43:20-48:21",0,4,0,0,0,1,8,0,0,4,4
"106","[23] limpar","D:\apps\wproc\src\main\webapp\Web\wproc\SorteioRecursos.xhtml?20:17-29:17?3:20-8:21",0,3,0,0,0,0,6,0,0,3,4
"107","[36] resetDadosRegistroNovo","D:\apps\wproc\src\main\webapp\Web\wproc\RepresentanteLegal\PopupEditarRepresentacaoLegal.xhtml?20:9-64:9?10:16-15:17",0,4,0,0,0,0,8,0,0,4,4
"108","[67] habilitaDesabilitaModelo","D:\apps\wproc\src\main\webapp\Web\wproc\Recurso\IniciarExameUnidade.xhtml?25:9-260:9?92:20-97:21",0,4,0,0,0,1,8,0,0,4,4
"109","[84] habilitaDesabilitaModelo","D:\apps\wproc\src\main\webapp\Web\wproc\Recurso\IniciarExameSubunidade.xhtml?25:9-298:9?73:20-78:21",0,4,0,0,0,1,8,0,0,4,4
"110","[99] habilitaDesabilitaModelo","D:\apps\wproc\src\main\webapp\Web\wproc\Recurso\IniciarExameDeMerito.xhtml?25:9-228:9?71:20-76:21",0,4,0,0,0,1,8,0,0,4,4
"111","[200] 25:8-79:8?45:27-53:3 (expr)","D:\apps\wproc\src\main\webapp\Web\wproc\MantemModeloDocumento\IncluiModelo.xhtml?25:8-79:8?45:27-53:3",0,4,0,0,0,0,7,0,0,3,4
"112","[205] 25:8-49:8?15:27-23:3 (expr)","D:\apps\wproc\src\main\webapp\Web\wproc\MantemCarimbo\IncluiCarimbo.xhtml?25:8-49:8?15:27-23:3",0,4,0,0,0,0,7,0,0,3,4
"113","[232] habilitaDesabilitaModelo","D:\apps\wproc\src\main\webapp\Web\wproc\IniciarPronunciamentoSupervisor.xhtml?25:9-139:17?71:20-76:21",0,4,0,0,0,1,8,0,0,4,4
"114","[247] habilitaDesabilitaModelo","D:\apps\wproc\src\main\webapp\Web\wproc\IniciarPronunciamentoSubunidade.xhtml?25:9-296:17?137:20-142:21",0,4,0,0,0,1,8,0,0,4,4
"115","[296] 12:8-51:8?5:6-18:7 (expr)","D:\apps\wproc\src\main\webapp\Web\wproc\Identificacao.xhtml?12:8-51:8?5:6-18:7",0,4,0,0,0,0,8,0,0,4,4
"116","[373] callback","D:\apps\wproc\src\main\webapp\Web\wproc\EmitirPronunciamentoSubunidadeDeAcordo.xhtml?30:1-198:1?52:1-57:2",0,3,0,0,0,0,6,0,0,3,4
